ligand,best_affinity_kcal_per_mol,out_pdbqt,log_path,success
ligand_819,-8.636,vina_docking_output/ligand_819_out.pdbqt,vina_docking_output/ligand_819.log,True
ligand_826,-8.964,vina_docking_output/ligand_826_out.pdbqt,vina_docking_output/ligand_826.log,True
ligand_827,-8.821,vina_docking_output/ligand_827_out.pdbqt,vina_docking_output/ligand_827.log,True
ligand_834,-8.831,vina_docking_output/ligand_834_out.pdbqt,vina_docking_output/ligand_834.log,True
ligand_835,-10.14,vina_docking_output/ligand_835_out.pdbqt,vina_docking_output/ligand_835.log,True
ligand_838,-9.041,vina_docking_output/ligand_838_out.pdbqt,vina_docking_output/ligand_838.log,True
ligand_845,-9.637,vina_docking_output/ligand_845_out.pdbqt,vina_docking_output/ligand_845.log,True
ligand_851,-8.714,vina_docking_output/ligand_851_out.pdbqt,vina_docking_output/ligand_851.log,True
ligand_853,-8.901,vina_docking_output/ligand_853_out.pdbqt,vina_docking_output/ligand_853.log,True
ligand_854,-8.807,vina_docking_output/ligand_854_out.pdbqt,vina_docking_output/ligand_854.log,True
ligand_857,-7.791,vina_docking_output/ligand_857_out.pdbqt,vina_docking_output/ligand_857.log,True
ligand_862,-9.513,vina_docking_output/ligand_862_out.pdbqt,vina_docking_output/ligand_862.log,True
ligand_87,-9.083,vina_docking_output/ligand_87_out.pdbqt,vina_docking_output/ligand_87.log,True
ligand_876,-8.769,vina_docking_output/ligand_876_out.pdbqt,vina_docking_output/ligand_876.log,True
ligand_885,-9.014,vina_docking_output/ligand_885_out.pdbqt,vina_docking_output/ligand_885.log,True
ligand_89,-9.194,vina_docking_output/ligand_89_out.pdbqt,vina_docking_output/ligand_89.log,True
ligand_892,-9.836,vina_docking_output/ligand_892_out.pdbqt,vina_docking_output/ligand_892.log,True
ligand_904,-9.59,vina_docking_output/ligand_904_out.pdbqt,vina_docking_output/ligand_904.log,True
ligand_910,-8.76,vina_docking_output/ligand_910_out.pdbqt,vina_docking_output/ligand_910.log,True
ligand_911,-8.88,vina_docking_output/ligand_911_out.pdbqt,vina_docking_output/ligand_911.log,True
ligand_918,-9.475,vina_docking_output/ligand_918_out.pdbqt,vina_docking_output/ligand_918.log,True
ligand_919,-8.948,vina_docking_output/ligand_919_out.pdbqt,vina_docking_output/ligand_919.log,True
ligand_920,-9.426,vina_docking_output/ligand_920_out.pdbqt,vina_docking_output/ligand_920.log,True
ligand_925,-8.952,vina_docking_output/ligand_925_out.pdbqt,vina_docking_output/ligand_925.log,True
ligand_94,-9.089,vina_docking_output/ligand_94_out.pdbqt,vina_docking_output/ligand_94.log,True
ligand_941,-9.374,vina_docking_output/ligand_941_out.pdbqt,vina_docking_output/ligand_941.log,True
ligand_95,-8.439,vina_docking_output/ligand_95_out.pdbqt,vina_docking_output/ligand_95.log,True
ligand_967,-9.09,vina_docking_output/ligand_967_out.pdbqt,vina_docking_output/ligand_967.log,True
ligand_98,-9.123,vina_docking_output/ligand_98_out.pdbqt,vina_docking_output/ligand_98.log,True
ligand_981,-9.781,vina_docking_output/ligand_981_out.pdbqt,vina_docking_output/ligand_981.log,True
ligand_987,-8.904,vina_docking_output/ligand_987_out.pdbqt,vina_docking_output/ligand_987.log,True
ligand_99,-9.256,vina_docking_output/ligand_99_out.pdbqt,vina_docking_output/ligand_99.log,True
