ligand,best_affinity_kcal_per_mol,out_pdbqt,log_path,success
ligand_1350,-8.097,vina_docking_output/ligand_1350_out.pdbqt,vina_docking_output/ligand_1350.log,True
ligand_1361,-9.576,vina_docking_output/ligand_1361_out.pdbqt,vina_docking_output/ligand_1361.log,True
ligand_1365,-8.902,vina_docking_output/ligand_1365_out.pdbqt,vina_docking_output/ligand_1365.log,True
ligand_1366,-8.147,vina_docking_output/ligand_1366_out.pdbqt,vina_docking_output/ligand_1366.log,True
ligand_1385,-8.971,vina_docking_output/ligand_1385_out.pdbqt,vina_docking_output/ligand_1385.log,True
ligand_1390,-9.962,vina_docking_output/ligand_1390_out.pdbqt,vina_docking_output/ligand_1390.log,True
ligand_1392,-8.951,vina_docking_output/ligand_1392_out.pdbqt,vina_docking_output/ligand_1392.log,True
ligand_1399,-9.526,vina_docking_output/ligand_1399_out.pdbqt,vina_docking_output/ligand_1399.log,True
ligand_140,-10.03,vina_docking_output/ligand_140_out.pdbqt,vina_docking_output/ligand_140.log,True
ligand_1400,-9.075,vina_docking_output/ligand_1400_out.pdbqt,vina_docking_output/ligand_1400.log,True
ligand_1407,-8.871,vina_docking_output/ligand_1407_out.pdbqt,vina_docking_output/ligand_1407.log,True
ligand_1412,-8.871,vina_docking_output/ligand_1412_out.pdbqt,vina_docking_output/ligand_1412.log,True
ligand_146,-7.842,vina_docking_output/ligand_146_out.pdbqt,vina_docking_output/ligand_146.log,True
ligand_15,-9.136,vina_docking_output/ligand_15_out.pdbqt,vina_docking_output/ligand_15.log,True
ligand_157,-8.143,vina_docking_output/ligand_157_out.pdbqt,vina_docking_output/ligand_157.log,True
ligand_161,-9.708,vina_docking_output/ligand_161_out.pdbqt,vina_docking_output/ligand_161.log,True
ligand_167,-8.634,vina_docking_output/ligand_167_out.pdbqt,vina_docking_output/ligand_167.log,True
ligand_184,-8.864,vina_docking_output/ligand_184_out.pdbqt,vina_docking_output/ligand_184.log,True
ligand_198,-8.216,vina_docking_output/ligand_198_out.pdbqt,vina_docking_output/ligand_198.log,True
ligand_202,-9.753,vina_docking_output/ligand_202_out.pdbqt,vina_docking_output/ligand_202.log,True
ligand_219,-9.204,vina_docking_output/ligand_219_out.pdbqt,vina_docking_output/ligand_219.log,True
ligand_223,-9.323,vina_docking_output/ligand_223_out.pdbqt,vina_docking_output/ligand_223.log,True
ligand_226,-9.016,vina_docking_output/ligand_226_out.pdbqt,vina_docking_output/ligand_226.log,True
ligand_234,-9.707,vina_docking_output/ligand_234_out.pdbqt,vina_docking_output/ligand_234.log,True
ligand_236,-9.31,vina_docking_output/ligand_236_out.pdbqt,vina_docking_output/ligand_236.log,True
ligand_244,-9.051,vina_docking_output/ligand_244_out.pdbqt,vina_docking_output/ligand_244.log,True
ligand_245,-9.185,vina_docking_output/ligand_245_out.pdbqt,vina_docking_output/ligand_245.log,True
ligand_246,-9.044,vina_docking_output/ligand_246_out.pdbqt,vina_docking_output/ligand_246.log,True
ligand_255,-9.241,vina_docking_output/ligand_255_out.pdbqt,vina_docking_output/ligand_255.log,True
ligand_270,-9.164,vina_docking_output/ligand_270_out.pdbqt,vina_docking_output/ligand_270.log,True
