Molecule,SMILES,CatalogID,MW,LOGP,Rotating_bonds,HB_acceptors,HB_donors,index_ID,fp_similarity,mol,mol_prepared
<rdkit.Chem.rdchem.Mol object at 0x15e4450e0>,CC(C)(O)C1(CNc2nc(Nc3ccccc3)c3[nH]cnc3n2)CCC1,s_27____25524556____10803818,352.4,2.8664729726666676,6,6,4,236,0.6382978723404256,<rdkit.Chem.rdchem.Mol object at 0x175437920>,<rdkit.Chem.rdchem.Mol object at 0x177c42420>
<rdkit.Chem.rdchem.Mol object at 0x15e428740>,OC1CCCCC(CNc2nc(Nc3ccccc3)c3[nH]cnc3n2)C1,s_27____15776824____10803818,352.4,3.0190790543333343,5,6,4,161,0.6382978723404256,<rdkit.Chem.rdchem.Mol object at 0x175437990>,<rdkit.Chem.rdchem.Mol object at 0x177c42490>
<rdkit.Chem.rdchem.Mol object at 0x16937f220>,CC(CCO)C1(CNc2nc(Nc3ccccc3)c3[nH]cnc3n2)CCC1,s_27____8283114____10803818,366.5,3.1895702459999993,8,6,4,727,0.6382978723404256,<rdkit.Chem.rdchem.Mol object at 0x175437a00>,<rdkit.Chem.rdchem.Mol object at 0x177c42500>
<rdkit.Chem.rdchem.Mol object at 0x15e429d90>,OC(CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)(C1CC1)C1CC1,s_27____12058958____10803818,350.4,2.7015339663333333,7,6,4,184,0.6382978723404256,<rdkit.Chem.rdchem.Mol object at 0x175437a70>,<rdkit.Chem.rdchem.Mol object at 0x177c42570>
<rdkit.Chem.rdchem.Mol object at 0x15e48c200>,OC1(CNc2nc(Nc3ccccc3)c3[nH]cnc3n2)CCC2(CC1)CC2,s_27____25524290____10803818,364.5,3.0032231950000003,5,6,4,354,0.6382978723404256,<rdkit.Chem.rdchem.Mol object at 0x175437ae0>,<rdkit.Chem.rdchem.Mol object at 0x177c425e0>
<rdkit.Chem.rdchem.Mol object at 0x15e3e57e0>,OCC1CCCCCC1Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____24001492____10803818,352.4,3.060635781333334,5,6,4,48,0.6382978723404256,<rdkit.Chem.rdchem.Mol object at 0x175437b50>,<rdkit.Chem.rdchem.Mol object at 0x177c42650>
<rdkit.Chem.rdchem.Mol object at 0x169b32490>,OCC1CC2(CCC(Nc3nc(Nc4ccccc4)c4[nH]cnc4n3)CC2)C1,s_27____26083454____10803818,378.5,3.1424193679999997,5,6,4,1049,0.6382978723404256,<rdkit.Chem.rdchem.Mol object at 0x175437bc0>,<rdkit.Chem.rdchem.Mol object at 0x177c426c0>
<rdkit.Chem.rdchem.Mol object at 0x15e48dbd0>,OC1CCCC1CCCNc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____7426664____10803818,352.4,3.0190790543333343,7,6,4,379,0.6382978723404256,<rdkit.Chem.rdchem.Mol object at 0x175437c30>,<rdkit.Chem.rdchem.Mol object at 0x177c42730>
<rdkit.Chem.rdchem.Mol object at 0x169bcff40>,OC(CCNc1nc(Nc2ccccc2)c2[nH]cnc2n1)C1CCCCC1,s_27____16500334____10803818,366.5,3.3908537133333327,7,6,4,1399,0.6382978723404256,<rdkit.Chem.rdchem.Mol object at 0x175437ca0>,<rdkit.Chem.rdchem.Mol object at 0x177c423b0>
<rdkit.Chem.rdchem.Mol object at 0x16937c2e0>,CC(C)(O)[C@H]1CC[C@@H](Nc2nc(Nc3ccccc3)c3[nH]cnc3n2)CC1,s_27____25521632____10803818,366.5,3.2716620823333327,5,6,4,679,0.6382978723404256,<rdkit.Chem.rdchem.Mol object at 0x175437d10>,<rdkit.Chem.rdchem.Mol object at 0x177c427a0>
<rdkit.Chem.rdchem.Mol object at 0x16935a2d0>,O[C@H]1CCCCCC[C@@H]1Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____23046726____10803818,352.4,3.4604499026666673,4,6,4,647,0.6382978723404256,<rdkit.Chem.rdchem.Mol object at 0x175437d80>,<rdkit.Chem.rdchem.Mol object at 0x177c42810>
<rdkit.Chem.rdchem.Mol object at 0x15e46a2d0>,OCCC1(CNc2nc(Nc3ccccc3)c3[nH]cnc3n2)CCCCC1,s_27____6821796____10803818,366.5,3.3471198146666663,7,6,4,322,0.6382978723404256,<rdkit.Chem.rdchem.Mol object at 0x175437df0>,<rdkit.Chem.rdchem.Mol object at 0x177c42880>
<rdkit.Chem.rdchem.Mol object at 0x169b8a6c0>,CC(O)(CCNc1nc(Nc2ccccc2)c2[nH]cnc2n1)C1CCCCC1,s_27____16503230____10803818,380.5,3.671430381666666,7,6,4,1244,0.6382978723404256,<rdkit.Chem.rdchem.Mol object at 0x175437e60>,<rdkit.Chem.rdchem.Mol object at 0x177c428f0>
<rdkit.Chem.rdchem.Mol object at 0x169318e40>,CC1CCC(C(C)(O)CNc2nc(Nc3ccccc3)c3[nH]cnc3n2)CC1,s_27____16504294____10803818,380.5,3.898489738999999,6,6,4,494,0.6382978723404256,<rdkit.Chem.rdchem.Mol object at 0x175437ed0>,<rdkit.Chem.rdchem.Mol object at 0x177c42960>
<rdkit.Chem.rdchem.Mol object at 0x15e46a570>,OC(CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)CC1CCCCC1,s_27____21534396____10803818,366.5,3.697508909333333,7,6,4,324,0.6382978723404256,<rdkit.Chem.rdchem.Mol object at 0x175437f40>,<rdkit.Chem.rdchem.Mol object at 0x177c42a40>
<rdkit.Chem.rdchem.Mol object at 0x1693c7140>,OC1(CNc2nc(Nc3ccccc3)c3[nH]cnc3n2)CCCCCC1,s_27____5063656____10803818,352.4,3.324451546333333,5,6,4,862,0.6382978723404256,<rdkit.Chem.rdchem.Mol object at 0x175420040>,<rdkit.Chem.rdchem.Mol object at 0x177c42ab0>
<rdkit.Chem.rdchem.Mol object at 0x15e4049e0>,OCC1CCCC(Nc2nc(Nc3ccccc3)c3[nH]cnc3n2)CC1,s_27____25521020____10803818,352.4,3.0190790543333343,5,6,4,98,0.6382978723404256,<rdkit.Chem.rdchem.Mol object at 0x1754200b0>,<rdkit.Chem.rdchem.Mol object at 0x177c42b20>
<rdkit.Chem.rdchem.Mol object at 0x15e404ac0>,CC1(C)CCCC(O)(CNc2nc(Nc3ccccc3)c3[nH]cnc3n2)CC1,s_27____12368596____10803818,380.5,3.911517762666666,5,6,4,99,0.6382978723404256,<rdkit.Chem.rdchem.Mol object at 0x175420120>,<rdkit.Chem.rdchem.Mol object at 0x177c42b90>
<rdkit.Chem.rdchem.Mol object at 0x15e4aca50>,CC1(C)CC(C)(C)CC(O)(CNc2nc(Nc3ccccc3)c3[nH]cnc3n2)C1,s_27____25522220____10803818,394.5,4.054015313999999,5,6,4,427,0.6382978723404256,<rdkit.Chem.rdchem.Mol object at 0x175420190>,<rdkit.Chem.rdchem.Mol object at 0x177c42c00>
<rdkit.Chem.rdchem.Mol object at 0x169359a80>,CC(O)(CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)C1CCCCCC1,s_27____16504218____10803818,380.5,4.056039307666666,6,6,4,638,0.6382978723404256,<rdkit.Chem.rdchem.Mol object at 0x175420200>,<rdkit.Chem.rdchem.Mol object at 0x177c42c70>
<rdkit.Chem.rdchem.Mol object at 0x15e48f290>,OC1(C2CC2)CCC(Nc2nc(Nc3ccccc3)c3[nH]cnc3n2)CC1,s_27____25523324____10803818,364.5,2.963843639666666,5,6,4,404,0.6382978723404256,<rdkit.Chem.rdchem.Mol object at 0x175420270>,<rdkit.Chem.rdchem.Mol object at 0x177c42ce0>
<rdkit.Chem.rdchem.Mol object at 0x169b068f0>,OCC1CCC(CCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)CC1,s_27____25521304____10803818,366.5,3.2561380609999997,7,6,4,987,0.6382978723404256,<rdkit.Chem.rdchem.Mol object at 0x1754202e0>,<rdkit.Chem.rdchem.Mol object at 0x177c42d50>
<rdkit.Chem.rdchem.Mol object at 0x16939e570>,CC(C)(CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)C(O)C1CCC1,s_27____25523632____10803818,366.5,3.473391525666667,7,6,4,781,0.6382978723404256,<rdkit.Chem.rdchem.Mol object at 0x175420350>,<rdkit.Chem.rdchem.Mol object at 0x177c429d0>
<rdkit.Chem.rdchem.Mol object at 0x15e4af760>,CC(C)(CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)C1(O)CCCCC1,s_27____13913268____10803818,380.5,3.911517762666666,6,6,4,472,0.6382978723404256,<rdkit.Chem.rdchem.Mol object at 0x1754203c0>,<rdkit.Chem.rdchem.Mol object at 0x177c42dc0>
<rdkit.Chem.rdchem.Mol object at 0x1693c7e60>,CC(C)(C)C(CCO)CNc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____21538078____10803818,354.5,3.1307737536666664,8,6,4,876,0.6382978723404256,<rdkit.Chem.rdchem.Mol object at 0x175420430>,<rdkit.Chem.rdchem.Mol object at 0x177c42e30>
<rdkit.Chem.rdchem.Mol object at 0x169b6e810>,CC(O)C1CCC(Nc2nc(Nc3ccccc3)c3[nH]cnc3n2)CC1,s_27____25524800____10803818,352.4,2.9910854140000005,5,6,4,1181,0.6382978723404256,<rdkit.Chem.rdchem.Mol object at 0x1754204a0>,<rdkit.Chem.rdchem.Mol object at 0x177c42ea0>
<rdkit.Chem.rdchem.Mol object at 0x169b32180>,CC1(C)CCC(C(CO)Nc2nc(Nc3ccccc3)c3[nH]cnc3n2)CC1,s_27____21684824____10803818,380.5,3.917960190666667,6,6,4,1046,0.6382978723404256,<rdkit.Chem.rdchem.Mol object at 0x175420510>,<rdkit.Chem.rdchem.Mol object at 0x177c42f10>
<rdkit.Chem.rdchem.Mol object at 0x1693e5a80>,CC1(C)CC[C@H](O)[C@@H](Nc2nc(Nc3ccccc3)c3[nH]cnc3n2)C1,m_27____12429260____10803818,352.4,3.1583787890000004,4,6,4,904,0.6382978723404256,<rdkit.Chem.rdchem.Mol object at 0x175420580>,<rdkit.Chem.rdchem.Mol object at 0x177c42f80>
<rdkit.Chem.rdchem.Mol object at 0x16939d620>,OCCC(Nc1nc(Nc2ccccc2)c2[nH]cnc2n1)C1CCCCC1,s_27____4990712____10803818,366.5,3.3908537133333327,7,6,4,765,0.6382978723404256,<rdkit.Chem.rdchem.Mol object at 0x1754205f0>,<rdkit.Chem.rdchem.Mol object at 0x177c43060>
<rdkit.Chem.rdchem.Mol object at 0x16939d310>,OC(CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)CC1CCCC1,s_27____21534440____10803818,352.4,3.2529402443333337,7,6,4,762,0.6382978723404256,<rdkit.Chem.rdchem.Mol object at 0x175420660>,<rdkit.Chem.rdchem.Mol object at 0x177c430d0>
<rdkit.Chem.rdchem.Mol object at 0x16935ac70>,CCCCCC(CO)CNc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____25523838____10803818,354.5,3.474401594333333,10,6,4,657,0.6382978723404256,<rdkit.Chem.rdchem.Mol object at 0x1754206d0>,<rdkit.Chem.rdchem.Mol object at 0x177c43140>
<rdkit.Chem.rdchem.Mol object at 0x169b6e260>,OC[C@@H]1C[C@H]2CCC[C@]1(Nc1nc(Nc3ccccc3)c3[nH]cnc3n1)C2,s_27____25557460____10803818,364.5,2.7978907083333344,5,6,4,1175,0.6382978723404256,<rdkit.Chem.rdchem.Mol object at 0x175420740>,<rdkit.Chem.rdchem.Mol object at 0x177c431b0>
<rdkit.Chem.rdchem.Mol object at 0x15e4af140>,OCC(CC1CCCCC1)Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____11246574____10803818,366.5,3.697508909333333,7,6,4,465,0.6382978723404256,<rdkit.Chem.rdchem.Mol object at 0x1754207b0>,<rdkit.Chem.rdchem.Mol object at 0x177c43220>
<rdkit.Chem.rdchem.Mol object at 0x169b6d930>,OC1CCCCC1CCCNc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____7426184____10803818,366.5,3.463647719333333,7,6,4,1165,0.6382978723404256,<rdkit.Chem.rdchem.Mol object at 0x175420820>,<rdkit.Chem.rdchem.Mol object at 0x177c43290>
<rdkit.Chem.rdchem.Mol object at 0x15e4462d0>,COc1ccc2c(c1)CCCC2Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____2239226____10803818,386.5,4.402540406,5,6,3,255,0.6296296296296297,<rdkit.Chem.rdchem.Mol object at 0x175420890>,<rdkit.Chem.rdchem.Mol object at 0x177c43300>
