ligand_465 : Success ; best_aff=-9.241
ligand_470 : Success ; best_aff=-9.709
ligand_472 : Success ; best_aff=-10.38
ligand_475 : Success ; best_aff=-8.107
ligand_478 : Success ; best_aff=-9.446
ligand_479 : Success ; best_aff=-8.741
ligand_48 : Success ; best_aff=-8.963
ligand_484 : Success ; best_aff=-9.473
ligand_487 : Success ; best_aff=-8.644
ligand_494 : Success ; best_aff=-9.125
ligand_495 : Success ; best_aff=-8.965
ligand_496 : Success ; best_aff=-8.023
ligand_498 : Success ; best_aff=-8.807
ligand_5 : Success ; best_aff=-8.651
ligand_505 : Success ; best_aff=-8.687
ligand_508 : Success ; best_aff=-9.505
ligand_510 : Success ; best_aff=-8.699
ligand_512 : Success ; best_aff=-8.596
ligand_515 : Success ; best_aff=-9.715
ligand_516 : Success ; best_aff=-8.849
ligand_521 : Success ; best_aff=-9.14
ligand_523 : Success ; best_aff=-9.691
ligand_529 : Success ; best_aff=-8.288
ligand_530 : Success ; best_aff=-9.202
ligand_543 : Success ; best_aff=-8.608
ligand_546 : Success ; best_aff=-8.246
ligand_556 : Success ; best_aff=-8.817
ligand_557 : Success ; best_aff=-10.25
ligand_559 : Success ; best_aff=-8.55
ligand_563 : Success ; best_aff=-8.544
ligand_567 : Success ; best_aff=-8.757
ligand_572 : Success ; best_aff=-9.571
ligand_580 : Success ; best_aff=-8.438
ligand_586 : Success ; best_aff=-9.724
ligand_593 : Success ; best_aff=-8.472
ligand_595 : Success ; best_aff=-9.354
ligand_599 : Success ; best_aff=-8.707
ligand_600 : Success ; best_aff=-9.34
ligand_602 : Success ; best_aff=-9.338
ligand_605 : Success ; best_aff=-9.614
ligand_607 : Success ; best_aff=-8.787
ligand_611 : Success ; best_aff=-9.238
ligand_62 : Success ; best_aff=-8.637
ligand_621 : Success ; best_aff=-9.026
ligand_623 : Success ; best_aff=-9.559
ligand_625 : Success ; best_aff=-10.7
ligand_627 : Success ; best_aff=-10.12
ligand_628 : Success ; best_aff=-9.528
ligand_631 : Success ; best_aff=-8.932
ligand_632 : Success ; best_aff=-9.415
ligand_633 : Success ; best_aff=-9.194
ligand_636 : Success ; best_aff=-8.183
ligand_638 : Success ; best_aff=-9.245
ligand_643 : Success ; best_aff=-8.928
ligand_644 : Success ; best_aff=-8.81
ligand_645 : Success ; best_aff=-8.875
ligand_647 : Success ; best_aff=-9.432
ligand_650 : Success ; best_aff=-8.994
ligand_656 : Success ; best_aff=-8.761
ligand_657 : Success ; best_aff=-8.036
ligand_660 : Success ; best_aff=-9.089
ligand_663 : Success ; best_aff=-8.885
ligand_668 : Success ; best_aff=-8.573
ligand_671 : Success ; best_aff=-8.386
ligand_672 : Success ; best_aff=-9.367
ligand_673 : Success ; best_aff=-8.863
ligand_678 : Success ; best_aff=-9.726
ligand_679 : Success ; best_aff=-9.238
ligand_680 : Success ; best_aff=-8.966
ligand_685 : Success ; best_aff=-9.348
ligand_689 : Success ; best_aff=-8.436
ligand_692 : Success ; best_aff=-9.824
ligand_693 : Success ; best_aff=-9.053
ligand_696 : Success ; best_aff=-7.488
ligand_697 : Success ; best_aff=-8.726
ligand_698 : Success ; best_aff=-9.143
ligand_704 : Success ; best_aff=-9.33
ligand_707 : Success ; best_aff=-8.551
ligand_709 : Success ; best_aff=-9.283
ligand_713 : Success ; best_aff=-9.865
