SMILES,CatalogID,MW,LOGP,Rotating_bonds,HB_acceptors,HB_donors,fp_similarity,ID,mol_prepared,aligned_mol,RMSD
Cc1ccc(OCCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)nc1,s_27____25522668____10803818,361.4,3.381202,7,7,3,0.72,599,<rdkit.Chem.rdchem.Mol object at 0x177c704a0>,<rdkit.Chem.rdchem.Mol object at 0x177cbc540>,5.134142481446618
Cc1ccc(OC(C)CNc2nc(Nc3ccccc3)c3[nH]cnc3n2)cc1,s_27____6079216____10803818,374.4,4.420992,7,6,3,0.72,1103,<rdkit.Chem.rdchem.Mol object at 0x177c70580>,<rdkit.Chem.rdchem.Mol object at 0x177c6e660>,5.031734223643939
Cc1ccc(OCC(C)Nc2nc(Nc3ccccc3)c3[nH]cnc3n2)cc1,s_27____2163278____10803818,374.4,4.420992,7,6,3,0.72,788,<rdkit.Chem.rdchem.Mol object at 0x177c70660>,<rdkit.Chem.rdchem.Mol object at 0x177bba340>,5.097981174319227
Cc1ccccc1OCC(C)Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____1671930____10803818,374.4,4.420992,7,6,3,0.72,272,<rdkit.Chem.rdchem.Mol object at 0x177c70740>,<rdkit.Chem.rdchem.Mol object at 0x177cbc8b0>,4.667305147624603
Cc1cc(C)cc(OCC(C)Nc2nc(Nc3ccccc3)c3[nH]cnc3n2)c1,s_27____25526476____10803818,388.5,4.934413,7,6,3,0.72,1150,<rdkit.Chem.rdchem.Mol object at 0x177c70820>,<rdkit.Chem.rdchem.Mol object at 0x177cbc7c0>,4.874645358561979
Cc1cccc(C)c1OCC(C)Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____19505120____10803818,388.5,4.934413,7,6,3,0.72,270,<rdkit.Chem.rdchem.Mol object at 0x177c70900>,<rdkit.Chem.rdchem.Mol object at 0x177cbc9a0>,4.593969107009888
Clc1cncc(OCCCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)n1,s_27____25541468____10803818,396.8,2.53429,8,8,3,0.716981,1400,<rdkit.Chem.rdchem.Mol object at 0x177c709e0>,<rdkit.Chem.rdchem.Mol object at 0x177cbc770>,5.249154280310766
CC(COc1ccc(Cl)cc1)Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____25545806____10803818,394.9,4.511615,7,6,3,0.705882,546,<rdkit.Chem.rdchem.Mol object at 0x177c70ac0>,<rdkit.Chem.rdchem.Mol object at 0x177cbcae0>,4.75649279088508
CC(COc1ccc(F)cc1)Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____1199228____10803818,378.4,4.050272,7,6,3,0.705882,1069,<rdkit.Chem.rdchem.Mol object at 0x177c70ba0>,<rdkit.Chem.rdchem.Mol object at 0x177cbc950>,4.718558267510588
C[C@@H](COc1c(F)cccc1F)Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____11984638____10803818,396.4,4.192974,7,6,3,0.705882,367,<rdkit.Chem.rdchem.Mol object at 0x177c70c80>,<rdkit.Chem.rdchem.Mol object at 0x177cbcc20>,4.6334156027857265
