ID,SMILES_Prepared,Molecule_Prepared,SMILES,CatalogID,MW,LOGP,Rotating_bonds,HB_acceptors,HB_donors,index_ID,fp_similarity,aligned_mol,RMSD
,COCC(C)(CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)COC,<rdkit.Chem.rdchem.Mol object at 0x164839af0>,COCC(C)(CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)COC,s_27____25520938____10803818,356.4,2.193960367999999,9,7,3,1211,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cbbca0>,4.756055255975958
,CC1(C)CCO[C@@H](CCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)C1,<rdkit.Chem.rdchem.Mol object at 0x164839bd0>,CC1(C)CCOC(CCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)C1,s_27____25523182____10803818,366.5,3.3571292966666664,6,6,3,934,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cbbc30>,4.923353789287313
,C[C@@H](CC1(O)CCOCC1)Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,<rdkit.Chem.rdchem.Mol object at 0x164839cb0>,CC(CC1(O)CCOCC1)Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____13780446____10803818,368.4,1.5183332096666668,6,7,4,916,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cbbb50>,4.619881524384647
,CC(C)(CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)CC1CCOCC1,<rdkit.Chem.rdchem.Mol object at 0x164839d90>,CC(C)(CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)CC1CCOCC1,s_27____17516062____10803818,380.5,3.822889769333333,7,6,3,913,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cbbae0>,5.105349423482651
,c1ccc(Nc2nc(N[C@@H]3CCOCC34CCCCC4)nc3[nH]cnc23)cc1,<rdkit.Chem.rdchem.Mol object at 0x164839e70>,c1ccc(Nc2nc(NC3CCOCC34CCCCC4)nc3nc[nH]c23)cc1,s_27____14727536____10803818,378.5,3.649786978999999,4,6,3,908,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cbbbc0>,5.279352056782201
,C[C@@H]1COC[C@H](CCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)O1,<rdkit.Chem.rdchem.Mol object at 0x164839f50>,CC1COCC(CCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)O1,s_27____25523224____10803818,354.4,2.1177715216666666,6,7,3,1182,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cbba70>,4.877128655013179
,CC(C)(CO)CN1CCC(Nc2nc(Nc3ccccc3)c3[nH]cnc3n2)CC1,<rdkit.Chem.rdchem.Mol object at 0x16483a030>,CC(C)(CO)CN1CCC(Nc2nc(Nc3ccccc3)c3[nH]cnc3n2)CC1,s_27____18059594____10803818,395.5,2.215284644333333,7,7,4,1015,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cbba00>,6.145455421248141
,CO[C@@](C)(CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)CC1CCC1,<rdkit.Chem.rdchem.Mol object at 0x16483a110>,COC(C)(CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)CC1CCC1,s_27____21595134____10803818,366.5,3.7320747513333328,8,6,3,1024,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cbb990>,5.187787126704964
,c1ccc(Nc2nc(N[C@H]3CC[C@H](OC4CCOCC4)CC3)nc3[nH]cnc23)cc1,<rdkit.Chem.rdchem.Mol object at 0x16483a1f0>,c1ccc(Nc2nc(N[C@H]3CC[C@H](OC4CCOCC4)CC3)nc3nc[nH]c23)cc1,s_27____26263648____10803818,408.5,2.8638102526666662,6,7,3,1080,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cbb920>,5.880649762258664
,COCC1(CNc2nc(Nc3ccccc3)c3[nH]cnc3n2)CCCCC1,<rdkit.Chem.rdchem.Mol object at 0x16483a340>,COCC1(CNc2nc(Nc3ccccc3)c3[nH]cnc3n2)CCCCC1,s_27____10345894____10803818,366.5,3.7015851133333326,7,6,3,1133,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cbb8b0>,5.269555851526586
