SMILES,CatalogID,MW,LOGP,Rotating_bonds,HB_acceptors,HB_donors,fp_similarity,ID,mol_prepared,aligned_mol,RMSD
c1ccc(Nc2nc(NCC3COCC34CCC4)nc3[nH]cnc23)cc1,s_27____25529688____10803818,350.4,2.589537,5,6,3,0.612245,745,<rdkit.Chem.rdchem.Mol object at 0x315154d60>,<rdkit.Chem.rdchem.Mol object at 0x315d00090>,4.700316389384837
CC(C)(C)C1OCCCC1Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____25526168____10803818,366.5,3.947606,5,6,3,0.612245,738,<rdkit.Chem.rdchem.Mol object at 0x315154e40>,<rdkit.Chem.rdchem.Mol object at 0x31517bfb0>,5.229267980726104
c1ccc(Nc2nc(NCC3CCOCC34CCCC4)nc3[nH]cnc23)cc1,s_27____14720372____10803818,378.5,3.437118,5,6,3,0.612245,697,<rdkit.Chem.rdchem.Mol object at 0x315154f20>,<rdkit.Chem.rdchem.Mol object at 0x301f4bf10>,4.924873434547383
c1ccc(Nc2nc(NC[C@H]3C[C@H]4O[C@@H]3[C@@H]3C[C@@H]34)nc3[nH]cnc23)cc1,s_27____15416626____10803818,348.4,2.212703,5,6,3,0.612245,556,<rdkit.Chem.rdchem.Mol object at 0x315155000>,<rdkit.Chem.rdchem.Mol object at 0x31517a9d0>,4.540323568601975
CCOC(CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)C1CCOC1,s_27____17757172____10803818,368.4,2.23532,8,7,3,0.612245,733,<rdkit.Chem.rdchem.Mol object at 0x315155150>,<rdkit.Chem.rdchem.Mol object at 0x31517bec0>,4.811444838404592
c1ccc(Nc2nc(N[C@H]3CC[C@H](OC4CCCC4)CC3)nc3[nH]cnc23)cc1,s_27____25525630____10803818,392.5,4.257326,6,6,3,0.612245,557,<rdkit.Chem.rdchem.Mol object at 0x315155230>,<rdkit.Chem.rdchem.Mol object at 0x315d00400>,5.6652758909519045
COCC(C)(C)CCCNc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____10210274____10803818,354.5,3.564835,9,6,3,0.612245,732,<rdkit.Chem.rdchem.Mol object at 0x315155380>,<rdkit.Chem.rdchem.Mol object at 0x3151623e0>,4.955739725023272
CC12CCC(Nc3nc(Nc4ccccc4)c4[nH]cnc4n3)(CC1)CO2,m_27____25557544____10803818,350.4,2.935445,4,6,3,0.612245,452,<rdkit.Chem.rdchem.Mol object at 0x315155460>,<rdkit.Chem.rdchem.Mol object at 0x315d00540>,4.9877955146366935
CCC(CC)C(CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)OC,s_27____21595212____10803818,354.5,3.993178,9,6,3,0.612245,728,<rdkit.Chem.rdchem.Mol object at 0x315155540>,<rdkit.Chem.rdchem.Mol object at 0x315d00590>,4.712292685747813
CC1([C@@H]2C[C@H]2Nc2nc(Nc3ccccc3)c3[nH]cnc3n2)CCOCC1,s_27____25541396____10803818,364.5,2.886602,5,6,3,0.612245,559,<rdkit.Chem.rdchem.Mol object at 0x315155620>,<rdkit.Chem.rdchem.Mol object at 0x315d004a0>,5.219981185208542
CC(C)(C)O[C@@H]1C[C@H](Nc2nc(Nc3ccccc3)c3[nH]cnc3n2)C1(C)C,s_27____10975362____10803818,380.5,3.893534,6,6,3,0.612245,720,<rdkit.Chem.rdchem.Mol object at 0x315155700>,<rdkit.Chem.rdchem.Mol object at 0x315d00450>,5.1350105231221965
c1ccc(Nc2nc(NCC3CCC4COCC4O3)nc3[nH]cnc23)cc1,s_27____25523534____10803818,366.4,2.211323,5,7,3,0.612245,563,<rdkit.Chem.rdchem.Mol object at 0x315155850>,<rdkit.Chem.rdchem.Mol object at 0x315d00220>,4.6132425072823695
c1ccc(Nc2nc(NCCCOC3CCCC3)nc3[nH]cnc23)cc1,s_27____2307566____10803818,352.4,3.214632,8,6,3,0.612245,567,<rdkit.Chem.rdchem.Mol object at 0x315155930>,<rdkit.Chem.rdchem.Mol object at 0x315d00770>,4.742152805077591
c1ccc(Nc2nc(NCC3OC4CCC3CC4)nc3[nH]cnc23)cc1,m_27____25525608____10803818,350.4,3.105879,5,6,3,0.612245,709,<rdkit.Chem.rdchem.Mol object at 0x315155a10>,<rdkit.Chem.rdchem.Mol object at 0x315d007c0>,4.686102947607275
OCCCN1CCC(Nc2nc(Nc3ccccc3)c3[nH]cnc3n2)C1,s_27____25521530____10803818,353.4,1.18365,7,7,4,0.612245,580,<rdkit.Chem.rdchem.Mol object at 0x315155af0>,<rdkit.Chem.rdchem.Mol object at 0x315d008b0>,4.960137899230985
COC1(CNc2nc(Nc3ccccc3)c3[nH]cnc3n2)CCC(C)CC1,s_27____9580842____10803818,366.5,3.810028,6,6,3,0.612245,698,<rdkit.Chem.rdchem.Mol object at 0x315155bd0>,<rdkit.Chem.rdchem.Mol object at 0x315d00680>,4.882771492059784
CC(O)(CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)C1CCCOC1,s_27____16718264____10803818,368.4,1.960531,6,7,4,0.612245,685,<rdkit.Chem.rdchem.Mol object at 0x315155cb0>,<rdkit.Chem.rdchem.Mol object at 0x315d009f0>,5.163882903549909
c1ccc(Nc2nc(NCCOCC3CCCC3)nc3[nH]cnc23)cc1,s_27____10890984____10803818,352.4,3.469685,8,6,3,0.612245,707,<rdkit.Chem.rdchem.Mol object at 0x315155d90>,<rdkit.Chem.rdchem.Mol object at 0x315d00720>,4.96707370326904
CC1(C)CCCOC1CCNc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____15075560____10803818,366.5,3.513037,6,6,3,0.612245,271,<rdkit.Chem.rdchem.Mol object at 0x315155e70>,<rdkit.Chem.rdchem.Mol object at 0x315d00ae0>,4.691889740018795
CCO[C@@H]1CCCCC[C@H]1Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____14787706____10803818,366.5,4.015816,6,6,3,0.612245,1203,<rdkit.Chem.rdchem.Mol object at 0x315155f50>,<rdkit.Chem.rdchem.Mol object at 0x315d00cc0>,5.33492796478847
